Ano;Região;Total Acidentes;Autoestradas;Estradas nacionais;Restantes vias;Acidentes com vítimas não mortais - Total;Acidentes com vítimas não mortais - Autoestradas;Acidentes com vítimas não mortais - Estradas nacionais;Acidentes com vítimas não mortais - Restantes vias;Acidentes com vítimas mortais - Total;Acidentes com vítimas mortais - Autoestradas;Acidentes com vítimas mortais - Estradas nacionais;Acidentes com vítimas mortais - Restantes vias
2023;Norte;12716;905;2464;9347;12540;886;2416;9238;176;19;48;109
2023;Centro;8625;379;1957;6289;8447;367;1902;6178;178;12;55;111
2023;Área Metropolitana de Lisboa;9029;523;1041;7465;8951;513;1018;7420;78;10;23;45
2023;Alentejo;2455;151;906;1398;2362;147;869;1346;93;4;37;52
2023;Algarve;2149;52;597;1500;2108;51;577;1480;41;1;20;20
2023;Região Autónoma dos Açores;620;-;-;620;603;-;-;603;17;-;-;17
2023;Região Autónoma da Madeira;1001;-;-;1001;991;-;-;991;10;-;-;10
2022;Norte;12016;834;2220;8962;11852;816;2178;8858;164;18;42;104
2022;Centro;7992;370;1721;5901;7828;358;1672;5798;164;12;49;103
2022;Área Metropolitana de Lisboa;8491;509;980;7002;8402;496;965;6941;89;13;15;61
2022;Alentejo;2254;129;842;1283;2161;124;801;1236;93;5;41;47
2022;Algarve;2035;59;517;1459;1993;56;500;1437;42;3;17;22
2022;Região Autónoma dos Açores;613;-;-;613;599;-;-;599;14;-;-;14
2022;Região Autónoma da Madeira;875;-;-;875;862;-;-;862;13;-;-;13
2021;Norte;10707;686;1894;8127;10545;669;1847;8029;162;17;47;98
2021;Centro;7087;284;1593;5210;6944;276;1545;5123;143;8;48;87
2021;Área Metropolitana de Lisboa;7682;415;811;6456;7595;409;790;6396;87;6;21;60
2021;Alentejo;2053;135;757;1161;1979;130;729;1120;74;5;28;41
2021;Algarve;1688;35;426;1227;1652;31;410;1211;36;4;16;16
2021;Região Autónoma dos Açores;600;-;-;600;583;-;-;583;17;-;-;17
2021;Região Autónoma da Madeira;874;-;-;874;862;-;-;862;12;-;-;12
2020;Norte;9678;644;1699;7335;9543;631;1660;7252;135;13;39;83
2020;Centro;6495;267;1454;4774;6354;245;1410;4699;141;22;44;75
2020;Área Metropolitana de Lisboa;6923;373;769;5781;6831;366;747;5718;92;7;22;63
2020;Alentejo;1865;103;707;1055;1776;92;667;1017;89;11;40;38
2020;Algarve;1540;39;420;1081;1510;36;406;1068;30;3;14;13
